"name","research_field1","research_field2","research_field3","research_field4","research_field5","research_field6"
"Aguirregabiria, Victor","Industrial organization","Econometrics","Applied econometrics","","",""
"Aivazian, Varouj A.","Financial economics","Law and economics","","","",""
"Alexopoulos, Michelle","Macroeconomics","Applied econometrics","","","",""
"Alves Estevam de Lima, Lucas","","","","","",""
"Anderson, Gordon","Applied econometrics","","","","",""
"Arieli, Itai","Microeconomic theory","","","","",""
"Arteaga, Carolina","Labour economics","","","","",""
"Bai, Don","","","","","",""
"Bailey, Lee","","","","","",""
"Baker, Michael","Labour economics","Public economics","Applied econometrics","","",""
"Ballyk, Alexandra","","","","","",""
"Bar-Isaac, Heski","","","","","",""
"Bashevkin, Sylvia","","","","","",""
"Bau, Natalie","","","","","",""
"Baude, Patrick","Labour economics","","","Economics of education","",""
"Baum-Snow, Nathaniel","","","","","",""
"Baysan, Ceren","Political economy","","","","",""
"Bell, Erin","","","","","",""
"Benjamin, Dwayne","Labour economics","","","Economics of higher education","",""
"Bernhardt-Walther, Karen","Microeconomic theory","","","","",""
"Berry, Albert","Economic development","International economics","","","",""
"Blanchenay, Patrick","","","","","",""
"Blouin, Arthur","Economic development","Economic history","Political economy","","",""
"Bobonis, Gustavo","Economic development","Labour economics","Political economy","Economic history","",""
"Bossons, John","","","","","",""
"Boutros, Michael","Financial economics","Macroeconomics","","","",""
"Brandt, Loren","Economic development","Economic history","","Chinese economy","",""
"Burda, Martin","Econometrics","Applied econometrics","","","",""
"Button, Patrick","","","","","",""
"Caballé, Jordi","","","","","",""
"Cameron, David","","","","","",""
"Carens, Joseph","","","","","",""
"Carr, Jack L.","Macroeconomics","Law and economics","Applied econometrics","","",""
"Carroll, Gabriel","Microeconomic theory","","","","",""
"Casas, François","International economics","","","Economics of education","",""
"Cavalcanti, Ricardo","","","","","",""
"Celik, Murat","Macroeconomics","","","","",""
"Chan, Mons","","","","","",""
"Chandra, Ambarish","","","","","",""
"Chang, Danny","","","","","",""
"Chen, Yanyou","Industrial organization","","","","",""
"Ching, Andrew","Industrial organization","Applied econometrics","Health economics","Quantitative Marketing","",""
"Cho, In-Koo","","","","","",""
"Choi, Eunji","","","","","",""
"Choi, Jason","Macroeconomics","Financial economics","","","",""
"Choudhry, Nanda","","","","","",""
"Clark, Robert","Industrial organization","","","","",""
"Cziraki, Peter","Financial economics","","","Corporate Finance","Corporate Governance",""
"Damiano, Ettore","Microeconomic theory","","","","",""
"Daneman, Meredyth","","","","","",""
"Dasgupta, Kunal","International economics","","","","",""
"Deb, Rahul","Microeconomic theory","Industrial organization","","","",""
"Dendorfer, Florian","Industrial organization","","","","",""
"Denislamova, Olga","Macroeconomics","","","","",""
"Dewees, Donald N.","Law and economics","Industrial organization","Environmental economics","","",""
"Dhuey, Elizabeth","","","","","",""
"di Giovanni, Julian","International economics","Macroeconomics","","","",""
"Drummond, Ian","","","","","",""
"Duarte, Margarida","Macroeconomics","International economics","","","",""
"Duggan, Mark","","","","","",""
"Duranton, Gilles","","","","","",""
"Dyrda, Sebastian","Macroeconomics","","","","",""
"Eastman, Harry C.","","","","","",""
"Eid, Jean","","","","","",""
"Eli, Shari","Economic history","Health economics","","","",""
"Erosa, Andres","","","","","",""
"Essaji, Azim","","","","","",""
"Eyoh, Dickson","Applied econometrics","","","","",""
"Faig, Miquel","Macroeconomics","","","Monetary economics","",""
"Fang, Min","Macroeconomics","Financial economics","Urban economics","","",""
"Farhoodi, Abdollah","Industrial organization","Urban economics","","","",""
"Floyd, John E.","International economics","Macroeconomics","","","",""
"Foltin, Peter","Microeconomic theory","","","","",""
"Foot, David K.","Applied econometrics","Macroeconomics","Labour economics","Economic demography","",""
"Freitas, Kripa","Economic development","","","","",""
"Fuss, Melvyn A.","","Econometrics","Industrial organization","Applied econometrics","",""
"Fuster, Luisa","Macroeconomics","Public economics","","Economics of the family","",""
"Gans, Joshua S.","Applied econometrics","Industrial organization","Law and economics","Microeconomic Theory","",""
"Gazzale, Robert","Industrial organization","Behavioral Economics","","Experimental Economics","",""
"Genesove, David","","","","","",""
"Gertler, Meric","","","","","",""
"Gilady, Lilach","","","","","",""
"Gillezeau, Robert","Economic history","Labour economics","","Indigenous economics","",""
"Goldfarb, Avi","","","","","",""
"Goldman, Jim","Financial economics","","","Corporate Finance","",""
"Golestani, Aria","Public economics","Labour economics","","Economics of crime","",""
"Gonzalez-Navarro, Marco","","","","","",""
"Gourieroux, Christian","Econometrics","","","","",""
"Graduate Economics Union","","","","","",""
"Gu, Jiaying","Econometrics","Applied econometrics","","","",""
"Gunderson, Morley K.","Labour economics","","","","",""
"Guvenen, Fatih","Macroeconomics","","","","",""
"Haddow, Rodney","","","","","",""
"Halberstam, Yosh","","","","","",""
"Halevy, Yoram","Behavioral Economics","Experimental Economics","Microeconomic theory","","",""
"Hall, Jonathan","Urban economics","Public economics","","Applied microeconomics","",""
